freq/Hz,Re(Z)/Ohm*cm^2,Im(Z)/Ohm*cm^2
1.00E+05,2.73E+00,4.53E-02
8.57E+04,2.74E+00,2.82E-02
7.35E+04,2.75E+00,1.49E-02
6.30E+04,2.76E+00,9.31E-03
5.40E+04,2.76E+00,3.92E-03
4.62E+04,2.77E+00,2.49E-03
3.96E+04,2.78E+00,-3.37E-03
3.40E+04,2.78E+00,-7.73E-03
2.91E+04,2.78E+00,-7.13E-03
2.49E+04,2.79E+00,-9.71E-03
2.14E+04,2.79E+00,-1.00E-02
1.83E+04,2.79E+00,-1.21E-02
1.57E+04,2.79E+00,-1.22E-02
1.35E+04,2.79E+00,-1.20E-02
1.15E+04,2.80E+00,-1.50E-02
9.89E+03,2.80E+00,-1.40E-02
8.54E+03,2.80E+00,-1.43E-02
7.27E+03,2.80E+00,-1.45E-02
6.23E+03,2.80E+00,-1.56E-02
5.39E+03,2.80E+00,-1.62E-02
4.57E+03,2.80E+00,-1.69E-02
3.92E+03,2.80E+00,-1.72E-02
3.36E+03,2.81E+00,-1.75E-02
2.88E+03,2.81E+00,-1.90E-02
2.47E+03,2.81E+00,-1.95E-02
2.12E+03,2.81E+00,-1.96E-02
1.81E+03,2.81E+00,-2.12E-02
1.55E+03,2.81E+00,-2.37E-02
1.33E+03,2.82E+00,-2.49E-02
1.14E+03,2.82E+00,-2.75E-02
9.78E+02,2.82E+00,-2.88E-02
8.38E+02,2.82E+00,-3.12E-02
7.18E+02,2.83E+00,-3.37E-02
6.16E+02,2.83E+00,-3.61E-02
5.27E+02,2.83E+00,-3.97E-02
4.52E+02,2.83E+00,-4.23E-02
3.88E+02,2.84E+00,-4.67E-02
3.32E+02,2.84E+00,-5.02E-02
2.85E+02,2.85E+00,-5.27E-02
2.44E+02,2.85E+00,-5.72E-02
2.09E+02,2.85E+00,-6.11E-02
1.79E+02,2.86E+00,-6.72E-02
1.54E+02,2.86E+00,-7.03E-02
1.32E+02,2.87E+00,-7.59E-02
1.13E+02,2.88E+00,-8.29E-02
9.68E+01,2.88E+00,-8.73E-02
8.29E+01,2.89E+00,-9.32E-02
7.10E+01,2.90E+00,-9.91E-02
6.09E+01,2.91E+00,-1.07E-01
5.22E+01,2.92E+00,-1.13E-01
4.47E+01,2.93E+00,-1.21E-01
3.83E+01,2.94E+00,-1.29E-01
3.29E+01,2.95E+00,-1.37E-01
2.82E+01,2.96E+00,-1.46E-01
2.41E+01,2.98E+00,-1.55E-01
2.07E+01,2.99E+00,-1.66E-01
1.77E+01,3.00E+00,-1.76E-01
1.52E+01,3.02E+00,-1.90E-01
1.30E+01,3.03E+00,-2.02E-01
1.12E+01,3.05E+00,-2.16E-01
9.56E+00,3.07E+00,-2.31E-01
8.19E+00,3.09E+00,-2.48E-01
7.03E+00,3.11E+00,-2.65E-01
6.02E+00,3.13E+00,-2.86E-01
5.16E+00,3.15E+00,-3.06E-01
4.42E+00,3.19E+00,-3.29E-01
3.79E+00,3.22E+00,-3.59E-01
3.25E+00,3.25E+00,-3.78E-01
2.78E+00,3.29E+00,-4.11E-01
2.38E+00,3.33E+00,-4.35E-01
2.04E+00,3.39E+00,-4.58E-01
1.75E+00,3.45E+00,-4.92E-01
1.50E+00,3.50E+00,-5.14E-01
1.29E+00,3.56E+00,-5.25E-01
1.10E+00,3.64E+00,-5.39E-01
9.46E-01,3.71E+00,-5.51E-01
8.11E-01,3.78E+00,-5.49E-01
6.94E-01,3.86E+00,-5.40E-01
5.96E-01,3.93E+00,-5.18E-01
5.11E-01,3.99E+00,-5.00E-01
4.38E-01,4.05E+00,-4.73E-01
3.75E-01,4.11E+00,-4.39E-01
3.21E-01,4.15E+00,-4.02E-01
2.75E-01,4.20E+00,-3.68E-01
2.36E-01,4.23E+00,-3.33E-01
2.02E-01,4.26E+00,-3.00E-01
1.73E-01,4.28E+00,-2.68E-01
1.49E-01,4.30E+00,-2.37E-01
1.27E-01,4.31E+00,-2.10E-01
1.09E-01,4.32E+00,-1.87E-01
9.35E-02,4.33E+00,-1.64E-01
8.01E-02,4.34E+00,-1.45E-01
6.87E-02,4.35E+00,-1.27E-01
5.88E-02,4.36E+00,-1.13E-01
5.05E-02,4.36E+00,-9.96E-02
4.33E-02,4.37E+00,-8.76E-02
3.70E-02,4.37E+00,-7.61E-02
3.18E-02,4.37E+00,-6.73E-02
2.72E-02,4.37E+00,-5.93E-02
2.33E-02,4.38E+00,-5.25E-02
2.00E-02,4.38E+00,-4.56E-02
