freq/Hz,Re(Z)/Ohm*cm^2,Im(Z)/Ohm*cm^2
1.00E+05,1.50E+00,1.78E-01
8.56E+04,1.51E+00,1.45E-01
7.33E+04,1.51E+00,1.27E-01
6.28E+04,1.51E+00,1.03E-01
5.37E+04,1.51E+00,8.52E-02
4.60E+04,1.52E+00,7.21E-02
3.94E+04,1.52E+00,6.09E-02
3.37E+04,1.52E+00,5.04E-02
2.89E+04,1.52E+00,4.31E-02
2.47E+04,1.52E+00,3.41E-02
2.12E+04,1.52E+00,2.83E-02
1.81E+04,1.53E+00,2.31E-02
1.55E+04,1.53E+00,1.86E-02
1.33E+04,1.53E+00,1.48E-02
1.14E+04,1.53E+00,1.17E-02
9.74E+03,1.53E+00,9.08E-03
8.34E+03,1.53E+00,6.33E-03
7.19E+03,1.53E+00,3.88E-03
6.13E+03,1.53E+00,7.87E-04
5.31E+03,1.53E+00,8.68E-05
4.49E+03,1.53E+00,-2.23E-03
3.85E+03,1.53E+00,-4.03E-03
3.29E+03,1.53E+00,-6.04E-03
2.82E+03,1.53E+00,-7.29E-03
2.41E+03,1.53E+00,-9.79E-03
2.06E+03,1.54E+00,-1.10E-02
1.77E+03,1.54E+00,-1.20E-02
1.51E+03,1.54E+00,-1.44E-02
1.30E+03,1.54E+00,-1.57E-02
1.11E+03,1.54E+00,-1.62E-02
9.49E+02,1.54E+00,-1.83E-02
8.13E+02,1.54E+00,-1.92E-02
6.96E+02,1.55E+00,-2.20E-02
5.96E+02,1.55E+00,-2.44E-02
5.10E+02,1.55E+00,-2.59E-02
4.37E+02,1.55E+00,-2.87E-02
3.74E+02,1.56E+00,-3.07E-02
3.21E+02,1.56E+00,-3.31E-02
2.74E+02,1.56E+00,-3.55E-02
2.35E+02,1.56E+00,-3.80E-02
2.01E+02,1.57E+00,-4.07E-02
1.72E+02,1.57E+00,-4.40E-02
1.48E+02,1.58E+00,-4.66E-02
1.26E+02,1.58E+00,-4.90E-02
1.08E+02,1.58E+00,-5.27E-02
9.25E+01,1.59E+00,-5.60E-02
7.92E+01,1.59E+00,-5.93E-02
6.79E+01,1.60E+00,-6.25E-02
5.81E+01,1.61E+00,-6.68E-02
4.98E+01,1.61E+00,-7.10E-02
4.26E+01,1.62E+00,-7.51E-02
3.65E+01,1.62E+00,-7.99E-02
3.12E+01,1.63E+00,-8.47E-02
2.67E+01,1.64E+00,-9.11E-02
2.29E+01,1.65E+00,-9.71E-02
1.96E+01,1.66E+00,-1.03E-01
1.68E+01,1.66E+00,-1.10E-01
1.44E+01,1.68E+00,-1.18E-01
1.23E+01,1.69E+00,-1.25E-01
1.05E+01,1.70E+00,-1.34E-01
9.02E+00,1.72E+00,-1.41E-01
7.72E+00,1.73E+00,-1.49E-01
6.61E+00,1.75E+00,-1.57E-01
5.66E+00,1.77E+00,-1.62E-01
4.85E+00,1.79E+00,-1.66E-01
4.15E+00,1.81E+00,-1.71E-01
3.55E+00,1.83E+00,-1.71E-01
3.04E+00,1.86E+00,-1.71E-01
2.60E+00,1.88E+00,-1.67E-01
2.23E+00,1.90E+00,-1.63E-01
1.91E+00,1.92E+00,-1.55E-01
1.63E+00,1.94E+00,-1.46E-01
1.40E+00,1.96E+00,-1.37E-01
1.20E+00,1.97E+00,-1.26E-01
1.03E+00,1.98E+00,-1.15E-01
8.78E-01,1.99E+00,-1.04E-01
7.52E-01,2.00E+00,-9.41E-02
6.44E-01,2.01E+00,-8.44E-02
5.51E-01,2.02E+00,-7.55E-02
4.73E-01,2.02E+00,-6.75E-02
4.04E-01,2.03E+00,-5.99E-02
3.46E-01,2.03E+00,-5.32E-02
2.96E-01,2.03E+00,-4.70E-02
2.54E-01,2.03E+00,-4.17E-02
2.17E-01,2.04E+00,-3.71E-02
1.86E-01,2.04E+00,-3.30E-02
1.59E-01,2.04E+00,-2.89E-02
1.36E-01,2.04E+00,-2.56E-02
1.17E-01,2.04E+00,-2.26E-02
9.99E-02,2.04E+00,-1.97E-02
