freq,Real,Imag
1.00E+05,3.50E+00,-3.41E-02
8.57E+04,3.51E+00,-1.76E-02
7.35E+04,3.52E+00,-3.20E-03
6.30E+04,3.52E+00,8.72E-03
5.40E+04,3.53E+00,1.76E-02
4.62E+04,3.54E+00,2.42E-02
3.96E+04,3.54E+00,3.30E-02
3.40E+04,3.55E+00,3.89E-02
2.91E+04,3.56E+00,4.52E-02
2.49E+04,3.56E+00,5.15E-02
2.14E+04,3.57E+00,5.43E-02
1.83E+04,3.58E+00,6.00E-02
1.57E+04,3.58E+00,6.48E-02
1.35E+04,3.59E+00,6.92E-02
1.15E+04,3.60E+00,7.36E-02
9.89E+03,3.60E+00,7.90E-02
8.54E+03,3.61E+00,8.25E-02
7.27E+03,3.62E+00,8.96E-02
6.23E+03,3.63E+00,9.41E-02
5.39E+03,3.64E+00,9.94E-02
4.57E+03,3.64E+00,1.05E-01
3.92E+03,3.65E+00,1.09E-01
3.36E+03,3.66E+00,1.17E-01
2.88E+03,3.68E+00,1.25E-01
2.47E+03,3.69E+00,1.31E-01
2.12E+03,3.70E+00,1.38E-01
1.81E+03,3.71E+00,1.48E-01
1.55E+03,3.73E+00,1.56E-01
1.33E+03,3.74E+00,1.63E-01
1.14E+03,3.75E+00,1.71E-01
9.78E+02,3.77E+00,1.82E-01
8.38E+02,3.78E+00,1.94E-01
7.18E+02,3.80E+00,2.06E-01
6.16E+02,3.82E+00,2.18E-01
5.27E+02,3.83E+00,2.32E-01
4.52E+02,3.85E+00,2.47E-01
3.88E+02,3.88E+00,2.61E-01
3.32E+02,3.90E+00,2.81E-01
2.85E+02,3.92E+00,2.97E-01
2.44E+02,3.95E+00,3.18E-01
2.09E+02,3.97E+00,3.41E-01
1.79E+02,4.00E+00,3.62E-01
1.54E+02,4.04E+00,3.90E-01
1.32E+02,4.07E+00,4.16E-01
1.13E+02,4.10E+00,4.44E-01
9.68E+01,4.15E+00,4.75E-01
8.29E+01,4.19E+00,5.05E-01
7.10E+01,4.24E+00,5.39E-01
6.09E+01,4.29E+00,5.71E-01
5.22E+01,4.35E+00,6.06E-01
4.47E+01,4.40E+00,6.43E-01
3.83E+01,4.47E+00,6.80E-01
3.29E+01,4.54E+00,7.16E-01
2.82E+01,4.61E+00,7.54E-01
2.41E+01,4.68E+00,7.93E-01
2.07E+01,4.76E+00,8.26E-01
1.77E+01,4.85E+00,8.67E-01
1.52E+01,4.94E+00,9.04E-01
1.30E+01,5.04E+00,9.41E-01
1.12E+01,5.14E+00,9.74E-01
9.56E+00,5.24E+00,1.01E+00
8.19E+00,5.35E+00,1.04E+00
7.03E+00,5.46E+00,1.07E+00
6.02E+00,5.59E+00,1.10E+00
5.16E+00,5.71E+00,1.10E+00
4.42E+00,5.83E+00,1.13E+00
3.79E+00,5.95E+00,1.13E+00
3.25E+00,6.09E+00,1.15E+00
2.78E+00,6.21E+00,1.16E+00
2.38E+00,6.34E+00,1.14E+00
2.04E+00,6.48E+00,1.13E+00
1.75E+00,6.60E+00,1.13E+00
1.50E+00,6.72E+00,1.10E+00
1.29E+00,6.85E+00,1.07E+00
1.10E+00,6.98E+00,1.04E+00
9.46E-01,7.09E+00,1.01E+00
8.11E-01,7.20E+00,9.69E-01
6.94E-01,7.31E+00,9.23E-01
5.96E-01,7.41E+00,8.69E-01
5.11E-01,7.50E+00,8.23E-01
4.38E-01,7.58E+00,7.68E-01
3.75E-01,7.65E+00,7.11E-01
3.21E-01,7.72E+00,6.55E-01
2.75E-01,7.78E+00,6.02E-01
2.36E-01,7.83E+00,5.50E-01
2.02E-01,7.88E+00,4.98E-01
1.73E-01,7.92E+00,4.49E-01
1.49E-01,7.96E+00,4.03E-01
1.27E-01,7.99E+00,3.61E-01
1.09E-01,8.01E+00,3.23E-01
9.35E-02,8.03E+00,2.86E-01
8.01E-02,8.05E+00,2.53E-01
6.87E-02,8.07E+00,2.23E-01
5.88E-02,8.08E+00,1.97E-01
5.05E-02,8.10E+00,1.74E-01
4.33E-02,8.11E+00,1.53E-01
3.70E-02,8.12E+00,1.33E-01
3.18E-02,8.13E+00,1.17E-01
2.72E-02,8.13E+00,1.03E-01
2.33E-02,8.14E+00,9.03E-02
2.00E-02,8.14E+00,7.87E-02
