freq/Hz,Re(Z)/Ohm*cm^2,Im(Z)/Ohm*cm^2
1.00E+06,-2.30E-01,4.52E-01
8.57E+05,-5.31E-01,1.71E+00
7.34E+05,-8.27E+00,9.50E+00
6.29E+05,1.21E+00,1.20E+00
5.38E+05,3.98E+00,7.96E-01
4.61E+05,4.17E+00,5.69E-01
3.95E+05,4.27E+00,3.08E-01
3.38E+05,4.45E+00,1.03E-01
2.90E+05,4.54E+00,-1.08E-01
2.48E+05,4.60E+00,-2.25E-01
2.13E+05,4.70E+00,-3.50E-01
1.82E+05,4.80E+00,-4.16E-01
1.56E+05,4.90E+00,-4.79E-01
1.34E+05,5.00E+00,-5.21E-01
1.15E+05,5.09E+00,-5.38E-01
9.81E+04,5.18E+00,-5.42E-01
8.40E+04,5.28E+00,-5.31E-01
7.20E+04,5.36E+00,-5.11E-01
6.16E+04,5.42E+00,-4.76E-01
5.28E+04,5.48E+00,-4.46E-01
4.52E+04,5.54E+00,-4.14E-01
3.87E+04,5.58E+00,-3.75E-01
3.32E+04,5.61E+00,-3.45E-01
2.84E+04,5.64E+00,-3.09E-01
2.44E+04,5.67E+00,-2.79E-01
2.09E+04,5.69E+00,-2.49E-01
1.79E+04,5.71E+00,-2.18E-01
1.53E+04,5.72E+00,-1.96E-01
1.31E+04,5.73E+00,-1.78E-01
1.12E+04,5.74E+00,-1.57E-01
9.62E+03,5.75E+00,-1.43E-01
8.24E+03,5.76E+00,-1.31E-01
7.06E+03,5.76E+00,-1.14E-01
6.05E+03,5.77E+00,-1.06E-01
5.29E+03,5.77E+00,-9.50E-02
4.44E+03,5.78E+00,-8.86E-02
3.80E+03,5.78E+00,-8.14E-02
3.26E+03,5.79E+00,-7.34E-02
2.79E+03,5.79E+00,-7.25E-02
2.39E+03,5.79E+00,-6.73E-02
2.05E+03,5.80E+00,-6.74E-02
1.75E+03,5.80E+00,-6.33E-02
1.50E+03,5.80E+00,-5.83E-02
1.29E+03,5.81E+00,-6.27E-02
1.10E+03,5.81E+00,-6.18E-02
9.44E+02,5.82E+00,-6.17E-02
8.08E+02,5.82E+00,-5.94E-02
6.92E+02,5.83E+00,-6.43E-02
5.93E+02,5.83E+00,-6.99E-02
5.08E+02,5.83E+00,-6.68E-02
4.35E+02,5.84E+00,-7.44E-02
3.73E+02,5.84E+00,-7.62E-02
3.19E+02,5.85E+00,-8.06E-02
2.73E+02,5.85E+00,-8.50E-02
2.34E+02,5.86E+00,-9.22E-02
2.01E+02,5.87E+00,-9.74E-02
1.72E+02,5.88E+00,-1.06E-01
1.47E+02,5.88E+00,-1.13E-01
1.26E+02,5.89E+00,-1.28E-01
1.08E+02,5.90E+00,-1.34E-01
9.25E+01,5.91E+00,-1.41E-01
7.93E+01,5.93E+00,-1.52E-01
6.79E+01,5.94E+00,-1.63E-01
5.82E+01,5.96E+00,-1.80E-01
4.98E+01,5.97E+00,-1.92E-01
4.27E+01,5.99E+00,-2.06E-01
3.66E+01,6.01E+00,-2.14E-01
3.13E+01,6.02E+00,-2.34E-01
2.68E+01,6.05E+00,-2.50E-01
2.30E+01,6.06E+00,-2.65E-01
1.97E+01,6.09E+00,-2.77E-01
1.69E+01,6.11E+00,-3.00E-01
1.44E+01,6.14E+00,-3.19E-01
1.24E+01,6.17E+00,-3.46E-01
1.06E+01,6.20E+00,-3.64E-01
9.08E+00,6.23E+00,-3.90E-01
7.78E+00,6.26E+00,-4.15E-01
6.67E+00,6.30E+00,-4.49E-01
5.70E+00,6.34E+00,-4.76E-01
4.89E+00,6.36E+00,-5.14E-01
4.18E+00,6.41E+00,-5.44E-01
3.58E+00,6.46E+00,-5.98E-01
3.07E+00,6.49E+00,-6.41E-01
2.63E+00,6.55E+00,-6.84E-01
2.26E+00,6.61E+00,-7.53E-01
1.93E+00,6.66E+00,-8.19E-01
1.66E+00,6.73E+00,-8.72E-01
1.42E+00,6.82E+00,-9.49E-01
1.21E+00,6.90E+00,-1.05E+00
1.04E+00,6.98E+00,-1.13E+00
8.90E-01,7.08E+00,-1.21E+00
7.62E-01,7.22E+00,-1.30E+00
6.53E-01,7.36E+00,-1.42E+00
5.60E-01,7.49E+00,-1.53E+00
4.79E-01,7.65E+00,-1.60E+00
4.11E-01,7.86E+00,-1.69E+00
3.52E-01,8.08E+00,-1.80E+00
3.01E-01,8.29E+00,-1.89E+00
2.58E-01,8.53E+00,-1.93E+00
2.21E-01,8.80E+00,-1.95E+00
1.89E-01,9.08E+00,-1.96E+00
1.62E-01,9.33E+00,-1.96E+00
1.39E-01,9.59E+00,-1.90E+00
1.19E-01,9.83E+00,-1.82E+00
1.02E-01,1.01E+01,-1.72E+00
8.73E-02,1.03E+01,-1.61E+00
7.48E-02,1.04E+01,-1.49E+00
6.41E-02,1.06E+01,-1.36E+00
5.49E-02,1.07E+01,-1.23E+00
4.70E-02,1.08E+01,-1.11E+00
4.02E-02,1.09E+01,-9.88E-01
3.45E-02,1.10E+01,-8.81E-01
2.96E-02,1.10E+01,-7.81E-01
2.53E-02,1.11E+01,-6.88E-01
2.17E-02,1.11E+01,-6.07E-01
1.86E-02,1.12E+01,-5.39E-01
1.59E-02,1.12E+01,-4.76E-01
1.36E-02,1.12E+01,-4.17E-01
1.17E-02,1.13E+01,-3.69E-01
1.00E-02,1.13E+01,-3.25E-01
