freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
4.42,3.183194582423427,-0.330559329480776,3.19,-0.32899999999999996
5.16,3.156206174154707,-0.3064353420375068,3.15,-0.306
6.02,3.1321581029843637,-0.2846423735055438,3.13,-0.28600000000000003
7.03,3.110164220326354,-0.2649178929708351,3.11,-0.265
8.19,3.090132277743477,-0.2474894930277115,3.09,-0.248
9.56,3.071067290083689,-0.23157059692130433,3.07,-0.231
11.2,3.0525450367473423,-0.21677384910392983,3.05,-0.21600000000000003
13.0,3.03592852851776,-0.2039097665698442,3.03,-0.20199999999999999
15.2,3.0192787216302417,-0.19130533052263804,3.02,-0.19
17.7,3.003884867809865,-0.1797375992745769,3.0,-0.17600000000000002
20.7,2.988917665415725,-0.16843025465317552,2.99,-0.166
24.1,2.975278766649585,-0.15799871259002907,2.98,-0.155
28.2,2.9620992089277793,-0.14776890622129613,2.96,-0.146
32.9,2.950098216395883,-0.13829155434450652,2.95,-0.13699999999999998
38.3,2.939109697276891,-0.12952180410079336,2.94,-0.129
44.7,2.928711594647458,-0.121180769790554,2.93,-0.121
52.2,2.91896760203712,-0.11340728875658701,2.92,-0.113
60.9,2.9098973340795755,-0.10624513267761872,2.91,-0.107
71.0,2.9013662451415887,-0.09959107839719156,2.9,-0.0991
82.9,2.8932240798753597,-0.093316517111264,2.89,-0.0932
96.8,2.8855198724169293,-0.08741095149651236,2.88,-0.0873
113.0,2.878287895092736,-0.0818315811677744,2.88,-0.0829
132.0,2.8714322215293686,-0.0764611221715901,2.87,-0.0759
154.0,2.8650650892219787,-0.07136174724638504,2.86,-0.0703
179.0,2.8592800468062824,-0.066585784478406,2.86,-0.0672
209.0,2.8537826313714865,-0.06184350424665866,2.85,-0.0611
244.0,2.84875513799249,-0.05734519936394126,2.85,-0.0572
285.0,2.8441516064589085,-0.0530602140355991,2.85,-0.0527
332.0,2.8400431847545975,-0.04909724847663724,2.84,-0.0502
388.0,2.8362422885703897,-0.04530602943792976,2.84,-0.0467
452.0,2.8328645798106824,-0.041856691139979876,2.83,-0.0423
527.0,2.829797965286507,-0.03864191394821386,2.83,-0.0397
616.0,2.826988386837429,-0.03565161628915361,2.83,-0.0361
718.0,2.8245055493324327,-0.0329664363366574,2.83,-0.0337
838.0,2.8222392948696093,-0.030512346066182486,2.82,-0.0312
978.0,2.8201947805263243,-0.028313649183288547,2.82,-0.0288
1140.0,2.818362108787898,-0.026386150874484232,2.82,-0.0275
1330.0,2.8166908098329078,-0.024700608639336805,2.82,-0.0249
1550.0,2.8151717006258457,-0.02329635888241518,2.81,-0.0237
1810.0,2.8137489612566737,-0.022130080721467285,2.81,-0.0212
2120.0,2.812353385007487,-0.021229969973145954,2.81,-0.0196
2470.0,2.8110330017261447,-0.020611525572972,2.81,-0.0195
2880.0,2.8096765495306824,-0.020235965561333877,2.81,-0.019
3360.0,2.8082280105492483,-0.02008900223271226,2.81,-0.0175
3920.0,2.8066577428396773,-0.020157760147158928,2.8,-0.0172
4570.0,2.804905765326236,-0.020360632665176688,2.8,-0.0169
5390.0,2.8027520395732104,-0.020681230439532246,2.8,-0.0162
6230.0,2.80060784210404,-0.020960788886401377,2.8,-0.0156
7270.0,2.798027431945403,-0.021167100179409273,2.8,-0.0145
8540.0,2.795048179110176,-0.02115471246446531,2.8,-0.0143
9890.0,2.7920985635696995,-0.0208389580286884,2.8,-0.014
11500.0,2.7889167326380733,-0.02012463358360237,2.8,-0.015
13500.0,2.7855055952408225,-0.018829036116571597,2.79,-0.012
15700.0,2.782366301415055,-0.01710284880727595,2.79,-0.0122
18300.0,2.7793949959093798,-0.014855171510462253,2.79,-0.0121
21400.0,2.776660181026114,-0.012089777464035688,2.79,-0.01
24900.0,2.774358065307217,-0.009046234596417627,2.79,-0.00971
29100.0,2.772364932416329,-0.005577823106404146,2.78,-0.00713
34000.0,2.7707403367856243,-0.0018500556658918852,2.78,-0.00773
39600.0,2.769468918543744,0.002069895853853869,2.78,-0.00337
46200.0,2.7684686095135693,0.006283076851126394,2.77,0.00249
54000.0,2.767687797244608,0.010844683052513552,2.76,0.00392
63000.0,2.767099198443747,0.015708696702431614,2.76,0.009309999999999999
73500.0,2.7666526276680994,0.02102375497583473,2.75,0.0149
85700.0,2.7663184621651045,0.02683348731788475,2.74,0.0282
100000.0,2.7660707998193237,0.033350401254601675,2.73,0.0453
