freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
0.05,1.8897815799259574,-0.008928012816257817,1.89,-0.00673
0.0584,1.8894084167565426,-0.009609591122867528,1.89,-0.00757
0.0681,1.8890077235413831,-0.010440328696100978,1.89,-0.00878
0.0794,1.8885762021703578,-0.011428866354587553,1.89,-0.0101
0.0928,1.8880873766793815,-0.012621086631857818,1.89,-0.0113
0.10800000000000001,1.8875508735344897,-0.013974896099622259,1.89,-0.0131
0.126,1.886928070525729,-0.015573339230053374,1.89,-0.0149
0.147,1.8862091012642628,-0.017415935806980434,1.89,-0.0168
0.172,1.8853554429698216,-0.019565588128896298,1.88,-0.0191
0.201,1.8843703034258725,-0.022002648249736273,1.88,-0.0215
0.23399999999999999,1.883248277066935,-0.024703266142399857,1.88,-0.0243
0.273,1.8819149790431093,-0.027792465673982837,1.88,-0.0278
0.318,1.8803731048991605,-0.031229086185688617,1.88,-0.0313
0.37200000000000005,1.8784964508585755,-0.03518165588652292,1.88,-0.0353
0.434,1.8763189314826896,-0.039519467608901654,1.88,-0.0395
0.506,1.8737725642127894,-0.04431681301843782,1.87,-0.0441
0.591,1.8707434135221748,-0.04967911283343435,1.87,-0.0499
0.6890000000000001,1.867228800772207,-0.05549115468735709,1.87,-0.0555
0.805,1.8630600883990063,-0.061935813083734234,1.86,-0.062
0.9390000000000001,1.8582476932762961,-0.06886284337711121,1.86,-0.0688
1.09,1.8528524860468396,-0.07608265917191592,1.85,-0.0764
1.28,1.8461353570948615,-0.08440125898372758,1.85,-0.0846
1.49,1.8388189922340672,-0.0927478096213053,1.84,-0.0927
1.74,1.8302914878535037,-0.10170373498540461,1.83,-0.10099999999999999
2.03,1.8206634318037085,-0.11097037952913123,1.82,-0.111
2.37,1.8097584716123292,-0.12055786981592548,1.81,-0.121
2.76,1.7977567822021085,-0.1301641800652228,1.8,-0.13
3.23,1.7840029207449435,-0.14012403891083403,1.78,-0.139
3.76,1.7693605571019744,-0.14966549111760272,1.77,-0.15
4.4,1.7528118606143916,-0.1593050787121421,1.75,-0.158
5.13,1.7352995569760314,-0.168325623051296,1.73,-0.168
5.98,1.7165313074614685,-0.17679347179543173,1.72,-0.17600000000000002
6.99,1.6962074039361204,-0.18471562440970934,1.7,-0.18600000000000003
8.16,1.6749518630283202,-0.19173312731591924,1.68,-0.192
9.5,1.6531355497674518,-0.19769270803492694,1.65,-0.198
11.1,1.6300069351585043,-0.20273858066078007,1.63,-0.20199999999999999
12.9,1.607096314523981,-0.2065294727910077,1.61,-0.207
15.1,1.5826626594929216,-0.209308987977124,1.58,-0.21
17.6,1.5586650031612594,-0.2108289248356105,1.56,-0.21
20.6,1.5339908517351308,-0.2111976241170732,1.53,-0.21100000000000002
24.0,1.5102026035185254,-0.21043679469204984,1.51,-0.21100000000000002
28.0,1.4865248099863204,-0.20862093933304332,1.49,-0.209
32.7,1.4631765285466414,-0.20581727769974814,1.46,-0.20600000000000002
38.2,1.4404029728092564,-0.20213461855713702,1.44,-0.20199999999999999
44.5,1.4187483039477644,-0.19777992593304522,1.42,-0.19699999999999998
51.9,1.397702886375583,-0.1927684534406593,1.4,-0.192
60.6,1.377356840840404,-0.1872108057119759,1.38,-0.187
70.7,1.358009650285846,-0.18128432892686291,1.36,-0.18
82.5,1.3395218747026738,-0.17505498872361452,1.34,-0.174
96.3,1.3219038273243198,-0.16861220955262754,1.32,-0.168
112.0,1.3055443291189657,-0.16220566775410197,1.31,-0.161
131.0,1.2894503712862906,-0.15551558994712686,1.29,-0.154
153.0,1.2743373741658042,-0.14890082224337792,1.27,-0.14800000000000002
178.0,1.2603783235465662,-0.1425079362050152,1.26,-0.141
208.0,1.246773092849426,-0.13602022654328066,1.25,-0.135
243.0,1.2339190590556686,-0.12966791677297246,1.23,-0.129
284.0,1.2217288842768166,-0.12344123775585367,1.22,-0.122
331.0,1.21040545067344,-0.11747115415518566,1.21,-0.11699999999999999
