freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
386.0,1.1996545737434445,-0.11164447724052015,1.2,-0.111
451.0,1.1893580303622524,-0.10591122461556815,1.19,-0.106
526.0,1.1797491783608935,-0.1004094432032377,1.18,-0.1
614.0,1.170622611075606,-0.09503924020299889,1.17,-0.0946
716.0,1.162067890403319,-0.08986105439506337,1.16,-0.0891
835.0,1.154004192800571,-0.08484482855096762,1.15,-0.0848
975.0,1.146351753681492,-0.07993107441929288,1.15,-0.079
1140.0,1.1390976787933018,-0.07512616918509621,1.14,-0.0742
1330.0,1.1323820251625016,-0.07053709572111835,1.13,-0.0709
1550.0,1.1261374640910988,-0.06610941304030749,1.13,-0.0664
1810.0,1.1202023262179939,-0.0617595612652382,1.12,-0.0616
2110.0,1.1147133452995286,-0.05757518345477083,1.11,-0.0583
2460.0,1.109587500834052,-0.05351897538679065,1.11,-0.0534
2870.0,1.1047708385319281,-0.04954964466632904,1.1,-0.0497
3350.0,1.1002378950881087,-0.045658304458660384,1.1,-0.0467
3910.0,1.0959965745185896,-0.04184540802941174,1.1,-0.042
4570.0,1.09197185148766,-0.038040251498900265,1.09,-0.0381
5340.0,1.0881914151307246,-0.03426756833477696,1.09,-0.0337
6220.0,1.0846791778644258,-0.030538861853225283,1.08,-0.0309
7250.0,1.0813246306834596,-0.026728571551406344,1.08,-0.0278
8460.0,1.0781036684504581,-0.022760858841013858,1.08,-0.0232
9870.0,1.0750294922242096,-0.018603310133103814,1.08,-0.0197
11500.0,1.0721015525265902,-0.014213116637251872,1.07,-0.015
13400.0,1.0692898827439703,-0.009485342558295844,1.07,-0.009470000000000001
15700.0,1.066483301051,-0.004123163706105659,1.07,-0.0039
18300.0,1.063875548447844,0.0015998475724731615,1.06,0.000782
21400.0,1.0613257482011829,0.008117626374706961,1.06,0.00826
24900.0,1.0589531301469748,0.015190744876638955,1.06,0.0149
29100.0,1.056617471809083,0.023419122831570716,1.06,0.0235
33900.0,1.054426668316181,0.03256524736963639,1.05,0.0314
39600.0,1.0522946138663105,0.043182439757004115,1.05,0.0424
46200.0,1.0502826322410752,0.05526303072014825,1.05,0.0549
53900.0,1.0483598463148094,0.06912390952213374,1.05,0.0688
62900.0,1.0465189632868226,0.08512905318668892,1.05,0.0848
73400.0,1.0447705245486145,0.10360728074364461,1.05,0.105
85700.0,1.0431148766355611,0.12506893453787443,1.04,0.125
100000.0,1.0415841520734412,0.14984015194578382,1.04,0.15
