freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag,Z_re_percentile_0dot1,Z_re_percentile_0dot9,Z_im_percentile_0dot1,Z_im_percentile_0dot9
0.01479825,9.158846818626984,-0.15511481961684626,9.2082,-0.15016,9.148277269645574,9.16949893421858,-0.1669527090364193,-0.14435361174351613
0.02183141,9.12196534320053,-0.19453365015024066,9.1435,-0.18141,9.112694053810367,9.130968974322407,-0.20476438908631991,-0.18503908490990584
0.03232928,9.073866184618831,-0.23844168086103684,9.0803,-0.22050999999999998,9.065353397294176,9.082481983457452,-0.2468134545807941,-0.23042680442216842
0.04782734,9.014947713841073,-0.2862287127114185,9.0162,-0.26295999999999997,9.006560266577198,9.023216707753068,-0.29323131302653077,-0.27911180587768686
0.07066042,8.94505891228361,-0.3387902188805342,8.9432,-0.31364000000000003,8.936936655832989,8.953090006109116,-0.345295926082573,-0.3323033800727508
0.1044452,8.862330951458025,-0.3982801381571527,8.8572,-0.37249,8.854454692930217,8.870228049762714,-0.404664427053486,-0.3920247353064992
0.1542753,8.763730092255749,-0.4658444744836448,8.7552,-0.44553999999999994,8.755923943535802,8.771834839022532,-0.47210102752603744,-0.4596733435062681
0.2281688,8.643872965826972,-0.5413551563060031,8.6387,-0.52581,8.635790675153942,8.652000708804552,-0.5474059174643756,-0.5351558461816842
0.33724,8.498451554301557,-0.6208363327978934,8.497,-0.6038399999999999,8.490441408831888,8.506698656023074,-0.6267600150266578,-0.6147179564858466
0.4988825,8.323897025850162,-0.6978041759959704,8.3225,-0.68092,8.316014311040659,8.331975635679608,-0.7039030924168275,-0.6915473541174724
0.7381425,8.1213169690086,-0.7632617352055628,8.113999999999999,-0.7522800000000001,8.1134583096105,8.129304083438772,-0.7695505051974498,-0.7570733886189228
1.089913,7.897525092686218,-0.8081639768341061,7.8916,-0.80696,7.889664426467045,7.905566538111754,-0.8145192698246946,-0.8019536610996836
1.610825,7.660461524918014,-0.8266666902554569,7.6635,-0.81682,7.652718631446688,7.668546150326968,-0.8326949822984632,-0.8205846729826185
2.384768,7.421682111194604,-0.8164473259170851,7.4108,-0.80185,7.413691929592372,7.4298112112106995,-0.8226146358594513,-0.8102918140015619
3.525496,7.194599577525231,-0.78022134331319,7.188,-0.77144,7.18652349767754,7.202585024095111,-0.7863743943766464,-0.7741153449990529
5.2083330000000005,6.987826886160697,-0.7245464586541166,6.9814,-0.71942,6.979743350608265,6.995672584365984,-0.7308239951884514,-0.7184190409219691
7.704638,6.805214796433559,-0.6575069477671723,6.8002,-0.65223,6.797240006884947,6.813098272862163,-0.6638728175634474,-0.6512388012169879
11.38848,6.648513572797958,-0.5874831953780637,6.6492,-0.5828399999999999,6.640705783091052,6.656353770697175,-0.5936904683013866,-0.5812343261915852
16.83729,6.5147067912906165,-0.5203920900839297,6.5143,-0.5143300000000001,6.50678780339929,6.522560201493453,-0.5263350939954374,-0.5141197000846371
24.88058,6.400037616077148,-0.45952751711691564,6.3985,-0.46082,6.392010102044995,6.407886429927261,-0.4655692844516965,-0.4534427686617727
