lower_bound_constr,upper_bound_constr
0.008523498416506157,1.434450877209559
0.11832522304435447,0.7957717763380219
0.11881916384010677,0.6382909423998148
0.06173192283193963,0.5559334989060104
0.07259575263349471,0.5219984871098831
0.09376015805075993,0.525041090548441
0.14475522486767126,0.5596849853051383
0.22974297025548548,0.6155562292956335
0.32030941221083736,0.6961388520396397
0.3860398876671125,0.7622187523495347
0.42416848365012705,0.7933890237710524
0.44270669510962485,0.8059897983806836
0.48473343667822816,0.8436120885384325
0.5905124473131449,0.9520525353447465
0.7928435483451022,1.1475260195435972
1.0738688606037687,1.435712299970979
1.374270033068441,1.7373139366444879
1.634936511874721,2.0021824064369724
1.817480745588711,2.1795843665031196
1.96517833880078,2.321466960998617
2.1856139675799966,2.543445734449813
2.6311527788840876,2.991738441036257
3.393955450151557,3.751081483911514
4.428341661533721,4.783656375640744
5.556322894046192,5.9115589459614295
6.476444829067159,6.831772847568504
6.9134804739949365,7.266530937416662
6.717634527573775,7.066048276959048
5.919451209531593,6.278082705646518
4.754812768301993,5.119589227021737
3.5431990531986592,3.899942563831175
2.559476882116572,2.8955194849945425
1.9085728095446521,2.2690721169664103
1.5710361483872615,1.9547712514280184
1.42098150425388,1.7820526588043495
1.26681248279357,1.5957012088159201
0.9666550191860899,1.3330659761012777
0.5392252070920796,0.9892334420387983
0.17111809156148172,0.6193083083025117
0.002476603610151735,0.3452392478270261
0.0011293751006240125,0.30668085837769615
0.007981299384936538,0.7314804761824241
0.013401798903334683,1.5561402177583687
