freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag,Z_re_percentile_0dot1,Z_re_percentile_0dot9,Z_im_percentile_0dot1,Z_im_percentile_0dot9
82.9,2.892639962994025,-0.09404617839950768,2.89,-0.0932,2.889680767164717,2.895725083612412,-0.09663775574452288,-0.09155748036205336
96.8,2.8847726679252057,-0.08776511558128147,2.88,-0.0873,2.8818822152644645,2.887798389212626,-0.0903772091814572,-0.08528600540232463
113.0,2.8775069623394187,-0.08179244763944919,2.88,-0.0829,2.874636865023568,2.880506270985686,-0.08438124768140044,-0.07934252864769835
132.0,2.870783755714319,-0.07610795281776588,2.87,-0.0759,2.867937005604303,2.873720286405536,-0.07863100819772346,-0.07367712696267097
154.0,2.8646425878874497,-0.07078220297809368,2.86,-0.0703,2.861760719486204,2.8676246250470427,-0.07325463291187995,-0.06839872282220798
179.0,2.8591465789145025,-0.06591519660001408,2.86,-0.0672,2.856175253724289,2.862119468973376,-0.06834856960381677,-0.06361087324943204
209.0,2.8539311816685444,-0.06123549660374161,2.85,-0.0611,2.8509145857495795,2.856839580939532,-0.06357597581224164,-0.05897278673041832
244.0,2.8491117361331737,-0.05686086241945745,2.85,-0.0572,2.846147970801348,2.852040991556878,-0.05915275830971088,-0.05469058292192869
285.0,2.844637878489225,-0.0527788630565653,2.85,-0.0527,2.8417192551089,2.847456547340872,-0.05508203969563594,-0.05062669768399246
332.0,2.8405683123041348,-0.04901514331091768,2.84,-0.0502,2.8377383242946,2.8433458050086053,-0.051266772370764116,-0.04684621217573509
388.0,2.836713011823683,-0.04542505811989728,2.84,-0.0467,2.8339820982433994,2.8394298113792678,-0.047617515461599896,-0.04327386315123575
452.0,2.8332427434463865,-0.042119603512432144,2.83,-0.0423,2.8305665742773947,2.835928979393097,-0.04425395715694662,-0.04000369209234057
527.0,2.83004895968123,-0.03899802575992431,2.83,-0.0397,2.8274221051071877,2.832692879522757,-0.04108100196701523,-0.0369161560888336
616.0,2.8270872595578034,-0.036037352211946316,2.83,-0.0361,2.8244758797014358,2.8297068159373286,-0.03807093695221985,-0.033941508369018394
718.0,2.8244735408772,-0.03332181373741927,2.83,-0.0337,2.8219197568584913,2.8270482997324184,-0.03535315406550777,-0.031288365651052655
838.0,2.82210979027618,-0.030813035781285462,2.82,-0.0312,2.819631600029667,2.82464973081196,-0.03278979004337024,-0.028863351873145
978.0,2.819987771016285,-0.028537600621261636,2.82,-0.0288,2.8175787108053507,2.822476810908798,-0.03045891665517603,-0.026634376754534513
1140.0,2.8181058606811087,-0.026525153141185528,2.82,-0.0275,2.815738359632118,2.820529425166168,-0.02844241668742848,-0.02468966016561982
1330.0,2.8164303341643606,-0.024755737433196263,2.82,-0.0249,2.8140539053842124,2.8188005992768694,-0.026660778827823358,-0.02297395591457276
1550.0,2.8149056432534003,-0.023257789915136655,2.81,-0.0237,2.812527282742812,2.817282871809453,-0.025142186865068798,-0.0215468667915435
1810.0,2.813494489164239,-0.02200350327632672,2.81,-0.0212,2.811087397645838,2.815869261405112,-0.023850909313852548,-0.02035505176484835
2120.0,2.812146625246098,-0.021029877688994322,2.81,-0.0196,2.8097105530516737,2.814544185699552,-0.0227671275690148,-0.019452304041276333
2470.0,2.8108791772172674,-0.02033927641136974,2.81,-0.0195,2.8083973425558817,2.813271974087942,-0.02204449665241594,-0.01883175360293826
2880.0,2.809587231548295,-0.019912608607413958,2.81,-0.019,2.807103971253726,2.811993230728546,-0.02151179085974368,-0.018465599145133623
3360.0,2.8082276820098695,-0.01973064801650288,2.81,-0.0175,2.8057253147998953,2.8106811576639377,-0.021301822670833498,-0.018276665221453263
3920.0,2.8067512174155658,-0.01975755306285376,2.8,-0.0172,2.80419989777649,2.809207921538364,-0.021315423387912036,-0.018318939621195417
4570.0,2.8050884167176284,-0.01996568317963228,2.8,-0.0169,2.802560178594451,2.807538877666641,-0.02155196094501791,-0.018482556384855662
5390.0,2.8030457439977505,-0.02030773073139368,2.8,-0.0162,2.800580894521034,2.805463934439303,-0.021982632885275532,-0.018691545263926516
6230.0,2.8009954416278733,-0.020632379243328912,2.8,-0.0156,2.7985921204573216,2.8033456641131465,-0.022415742611154903,-0.01890845320424431
7270.0,2.79850112050733,-0.02091735361148754,2.8,-0.0145,2.796153554219896,2.800812788441229,-0.0228680528964058,-0.019018527163013277
8540.0,2.7955746339372882,-0.02102564107743394,2.8,-0.0143,2.7933054934259847,2.7977687818820667,-0.023157981140217495,-0.018961139036158068
9890.0,2.7926541683426276,-0.02083227370235386,2.8,-0.014,2.7904686349734833,2.794791190410736,-0.023164174523220466,-0.018599479032018817
