freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
0.02183141,9.11814061099892,-0.19724141974243692,9.1516,-0.19597
0.03232928,9.0712389231697,-0.2469521189285969,9.0879,-0.24117
0.04782734,9.010634985995566,-0.30250453961521934,9.0217,-0.28976
0.07066042,8.935240456444102,-0.36348104637360523,8.9412,-0.34538
0.1044452,8.84306834261996,-0.43028902124336443,8.8429,-0.40769
0.1542753,8.731975671300109,-0.5022829043586146,8.7262,-0.47983000000000003
0.2281688,8.598382429850833,-0.5782170545475049,8.5928,-0.55937
0.33724,8.440220476794336,-0.6541468203654206,8.4404,-0.63663
0.4988825,8.255735138242251,-0.7246767655776194,8.2558,-0.70482
0.7381425,8.046856830595635,-0.7824845321069964,8.0409,-0.7669
1.089913,7.820316801103365,-0.8204015992859376,7.8129,-0.8176100000000001
1.610825,7.583025873179215,-0.8337985142051358,7.5838,-0.82916
2.384768,7.3449271510929535,-0.8206306654333535,7.3338,-0.81476
3.525496,7.118445336194383,-0.7831517467044902,7.1166,-0.77064
5.2083330000000005,6.911624145960367,-0.7270202873650133,6.8998,-0.71949
7.704638,6.728403566766124,-0.6594561496529846,6.7237,-0.6484800000000001
11.38848,6.571103550946273,-0.5884414062077814,6.5736,-0.59078
16.83729,6.437182161777019,-0.5200544890181634,6.4385,-0.51376
24.88058,6.3231943776279,-0.4581374811573811,6.3225,-0.45503000000000005
36.801809999999996,6.22428486428102,-0.403571513646093,6.2221,-0.40484000000000003
54.39082,6.13753153427883,-0.356068716211853,6.1332,-0.35672
80.43755999999999,6.060379430360305,-0.3138378106914573,6.0572,-0.30834
118.8213,5.992248398642586,-0.2757022737707209,5.9893,-0.27176
175.7311,5.93239575580653,-0.24052208178025508,5.9342,-0.2374
259.7506,5.8810396388659,-0.20826542330749898,5.8807,-0.20725
384.1396,5.837403385657245,-0.1793114782437864,5.8348,-0.17818
568.0007,5.800694875887665,-0.15405888810715365,5.7999,-0.15224000000000001
839.194,5.769589936992983,-0.1325978409857295,5.7666,-0.13625
1240.397,5.742553196632823,-0.11445462244767463,5.7405,-0.11454
1835.5870000000002,5.718384120509846,-0.09886787059211063,5.7161,-0.099199
2710.867,5.696553910016109,-0.08484065379430793,5.6929,-0.086715
4011.283,5.676386512377375,-0.07104249671002504,5.6758,-0.069143
5937.732,5.657819145930267,-0.05624238894601838,5.6559,-0.059222000000000004
8763.363000000001,5.640998273412672,-0.03930859783359299,5.6392,-0.04384
12952.79,5.625665600806736,-0.01844108236875742,5.6231,-0.023655000000000002
19150.83,5.61168173609698,0.008446720899855518,5.6082,0.0027788
28317.99,5.598807233835462,0.04476253018054302,5.5983,0.038494
41864.61,5.586455143347065,0.0956172336591122,5.5889,0.089912
61896.9,5.5746237402014,0.16880448787458427,5.5795,0.16222999999999999
91504.6,5.563386431397718,0.27569001983507957,5.5689,0.27307
135280.6,5.553629779626281,0.4323970394995882,5.5587,0.43194
199998.1,5.54628417026526,0.6617077387201213,5.5473,0.6685
