freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
6230.0,3.6277359742655912,-0.09372862419282317,3.63,-0.0941
7270.0,3.619463160147358,-0.08836260542281427,3.62,-0.0896
8540.0,3.6112508527510854,-0.08297482982987843,3.61,-0.0825
9890.0,3.6040990858224147,-0.07824840438006286,3.6,-0.079
11500.0,3.5970271523472297,-0.07355380251754295,3.6,-0.0736
13500.0,3.5897765136967914,-0.06869467403228663,3.59,-0.0692
15700.0,3.5831431435554757,-0.06417738048760498,3.58,-0.0648
18300.0,3.5765131153447296,-0.05957456186975617,3.58,-0.06
21400.0,3.5698618032935805,-0.05477216083384062,3.57,-0.0543
24900.0,3.563468127872533,-0.04995066164019115,3.56,-0.0515
29100.0,3.55686971382599,-0.044643032763484546,3.56,-0.0452
34000.0,3.550196963264243,-0.03890693379623836,3.55,-0.0389
39600.0,3.5435848194760906,-0.0326326963749768,3.54,-0.033
46200.0,3.5367764547513003,-0.02543939666738545,3.54,-0.0242
54000.0,3.5297668728175067,-0.017046465216940754,3.53,-0.0176
63000.0,3.5227581414842426,-0.007361586290395753,3.52,-0.00872
73500.0,3.515696038919449,0.003968259977720875,3.52,0.0032
85700.0,3.508687779407162,0.01721373416341826,3.51,0.0176
100000.0,3.5018476824665243,0.032785057654857216,3.5,0.0341
