tau_vec,gamma_GP_unc,gamma_median_constr,lower_bound_constr,upper_bound_constr
1e-06,6.632022820518557e-05,0.02232683480841731,0.0004458215306633371,0.07530811975777224
1.2589254117941661e-06,0.00396930089907066,0.01863110261161041,0.0013563074131490423,0.0530710858856183
1.584893192461114e-06,0.008326367416700453,0.015601565325056336,0.0011176914961760272,0.037399138474025845
1.9952623149688787e-06,0.012771255589487218,0.013195529849075027,0.0011024420411450768,0.029791263673990792
2.5118864315095823e-06,0.01690128342367414,0.01292984750182133,0.0010264823759736225,0.026765493975670462
3.162277660168379e-06,0.02034334516165348,0.014554227608995822,0.0014817348924248506,0.02732393065770214
3.981071705534969e-06,0.022825443812754642,0.01735499369167428,0.0031900836946296756,0.029776524623550984
5.011872336272725e-06,0.024242005958526658,0.020625305631472315,0.006489103502798667,0.03254718925674292
6.30957344480193e-06,0.024698692775217523,0.0235832607761643,0.00997079081936819,0.03501069600115338
7.943282347242822e-06,0.024521202443560597,0.025565082321482628,0.012768946729360738,0.036865518215363005
1e-05,0.024214986863177135,0.02667740447693978,0.014616490511117592,0.037924513347075514
1.2589254117941661e-05,0.02437129917652503,0.027105817716648755,0.015369163566029376,0.03888654304099909
1.584893192461114e-05,0.02553007731026513,0.02754920206114289,0.015733240725836005,0.039824716622710504
1.9952623149688786e-05,0.028028757760338197,0.02889881638262974,0.01719486292380292,0.041295572011596546
2.5118864315095822e-05,0.031881331073579044,0.03152844325882209,0.019823407151260214,0.043948651924122645
3.1622776601683795e-05,0.03673532578690386,0.03554837120032586,0.02379178277892191,0.04716243377720518
3.9810717055349695e-05,0.04193987635834873,0.04044742578317704,0.028688353646538156,0.05226800233553026
5.011872336272725e-05,0.04672597726506167,0.045523624990674694,0.03385703865496535,0.057294853130577576
6.309573444801929e-05,0.05045908686011025,0.04985293369958884,0.03795923819057284,0.06188340858266871
7.943282347242822e-05,0.05288933489826941,0.052903529912157826,0.040727907153526845,0.06512585378913278
0.0001,0.054311365249026966,0.0548387357821193,0.04284869080670273,0.06679845974415757
0.00012589254117941674,0.05556376243951899,0.05631310252259915,0.04446673346855222,0.06818064798810253
0.00015848931924611142,0.057845123002725485,0.05843664937266381,0.04653633909427119,0.07015613800269646
0.0001995262314968881,0.06238604512621951,0.06261799430317405,0.05070789116121135,0.07460162223346523
0.0002511886431509582,0.07007184644658476,0.07012045706782574,0.057931756403651155,0.08206843763808068
0.00031622776601683794,0.08113831819678524,0.08098523816584437,0.06887298330307191,0.09284451173648693
0.00039810717055349735,0.09504975949683653,0.09488695780721812,0.08277563313031285,0.10691447318854008
0.0005011872336272725,0.11061647499339557,0.11052489859326611,0.09858758067676605,0.12279417691018243
0.0006309573444801936,0.12633347742882026,0.12632719701267903,0.11437743468075544,0.138328148478188
