tau_vec,gamma_GP_unc,gamma_median_constr,lower_bound_constr,upper_bound_constr
1e-05,0.47093545814754734,0.1704149976031656,0.12371911294334986,0.2102037474309027
1.1748975549395302e-05,0.2845651104142535,0.1005961386731756,0.08508729786042424,0.11404814044447067
1.3803842646028839e-05,0.11225311510154423,0.051544070035501724,0.039982040767416106,0.06266413106311998
1.62181009735893e-05,-0.026606725104526774,0.021572580119477845,0.010980892384886781,0.034590481670090656
1.9054607179632484e-05,-0.11841657261849559,0.006680552424070577,0.0005558707904371343,0.01701605700769429
2.238721138568338e-05,-0.1579021540653569,0.0018738141165477035,4.121955403349559e-05,0.008766775867938304
2.6302679918953814e-05,-0.14893998822819476,0.0018340417338956472,3.700977116190773e-05,0.007829600890773053
3.090295432513592e-05,-0.10343681354432377,0.0027293403361405705,0.00012669429272347488,0.009981531624854451
3.6307805477010174e-05,-0.03849775570841718,0.003106897437277951,0.00021633856126306668,0.010498084628866089
4.265795188015926e-05,0.02744297063072576,0.0026638186076194253,0.00011470671399744195,0.00965682065762873
5.011872336272725e-05,0.07859152115770929,0.00201689416423715,5.8461924085267956e-05,0.00840788589285537
5.888436553555884e-05,0.10491458711412704,0.0019393708882875088,5.0002189421791966e-05,0.008118137969889399
6.918309709189363e-05,0.10370306487946657,0.002528047498467391,8.738968717158123e-05,0.009323868910932304
8.128305161640995e-05,0.07929641656223119,0.0035780792761888336,0.00014406052828577057,0.011798597075850828
9.549925860214369e-05,0.04116748594457986,0.004672445795537758,0.000218882215425654,0.014471198283210557
0.0001122018454301963,0.0009720606557088729,0.005451110388561612,0.0003182667910743941,0.016524794666273386
0.00013182567385564074,-0.030613125856160384,0.006119263531868608,0.0002431248366483482,0.018044182174558596
0.00015488166189124827,-0.046453880876298204,0.007123537852894015,0.00034153592550548406,0.020233919068339216
0.00018197008586099845,-0.04433899224672366,0.008994381115923693,0.0005401304453664092,0.023113156324813092
0.00021379620895022324,-0.026952097179351764,0.012125293418793912,0.0008884797057143511,0.026838130105714633
0.0002511886431509582,-0.0005937003335310109,0.01645866489272086,0.0016731124869297101,0.03170024454851989
0.0002951209226666387,0.026883120506951963,0.02131351741724828,0.0032104028610452115,0.03683883229824792
0.0003467368504525317,0.04830679998903542,0.025732787176511264,0.004211042990102736,0.041520697404477745
0.00040738027780411304,0.05899743657605239,0.028721179395915654,0.004587800849071362,0.045628601247306104
0.00047863009232263854,0.05773256497453372,0.029424550877610527,0.004315234347549584,0.04882426995145023
0.0005623413251903491,0.04671010347588145,0.02810454672558864,0.0032240807579433676,0.05197219735476495
0.0006606934480075965,0.030623366339223246,0.025332446147580033,0.0022481003182161455,0.05329176917534375
0.0007762471166286919,0.015176843790672745,0.02278767863824452,0.0014594401274599638,0.05436695946289876
0.0009120108393559096,0.005478737145314494,0.02204134545702968,0.0011307970339456133,0.05584951484998813
0.001071519305237607,0.0047325927170284166,0.02391307530806991,0.0012248649464169953,0.06020220221192422
0.0012589254117941675,0.013533234621694867,0.029703293302121216,0.0023766463160268254,0.06726904679302544
0.0014791083881682088,0.02989220186299979,0.03883727746649006,0.005519592767685292,0.07687321583819762
0.0017378008287493763,0.04992585027272892,0.05031461611145589,0.011660275031678484,0.08682648717551401
0.0020417379446695297,0.06898254310265661,0.06212743421684214,0.019371668075304646,0.09651959203909768
0.0023988329190194925,0.08289710755758542,0.07249591612478173,0.027385717071821226,0.10546418349111657
0.002818382931264455,0.08905422179110303,0.07850549520056013,0.03236805027682204,0.11251141049687113
0.0033113112148259144,0.08701066517029518,0.07970533930642429,0.03253997817710033,0.11781263075167171
0.0038904514499428088,0.07854663033518072,0.07598267021287192,0.028751742834905954,0.11949377843598492
0.004570881896148752,0.06715711464893967,0.06842759000629961,0.02099792452499743,0.11525371950494345
0.005370317963702532,0.05712352998690416,0.06070722634836011,0.01476354698157336,0.11048212235853916
0.006309573444801936,0.05239672874767753,0.055697364326516036,0.012003378888274466,0.10705354264355717
0.007413102413009177,0.05555952874301253,0.056737042425205796,0.012433835376372894,0.10851760728192311
0.008709635899560815,0.06711534075615411,0.06562186209415817,0.01836124688211003,0.11761787091134189
0.010232929922807547,0.08527668095926519,0.08235476171653215,0.03173410792274971,0.1350331968320607
0.012022644346174132,0.1063190254439984,0.10442294662913565,0.05261342747396789,0.15731370787300542
0.014125375446227554,0.12544300373421807,0.12679797181737912,0.07495440161096598,0.17804011307010753
0.016595869074375613,0.1379746495387927,0.14424647319235057,0.0908614474844201,0.19336486516686283
0.019498445997580476,0.14065108711844168,0.15112538429204658,0.09827477228848697,0.20046688150628975
0.022908676527677748,0.13270456202999784,0.14461949678407343,0.0902959263981452,0.196802628965019
0.026915348039269166,0.1164803677298887,0.1258706832086246,0.07031234962962482,0.1800425131138695
0.031622776601683826,0.09740335973290519,0.09979706532284911,0.044293781022750306,0.1536789773296019
0.037153522909717275,0.08323192913243618,0.07545260538710344,0.021894204080985306,0.1293124740376445
0.04365158322401665,0.08268599337638774,0.0648672467788606,0.014830582933291947,0.11715101631092145
0.05128613839913653,0.10367807152361758,0.07920227071697078,0.029036093088275282,0.131111033139356
0.06025595860743581,0.15148306270017836,0.1270047750749963,0.07443492199064548,0.17865218292503202
0.07079457843841387,0.2272265432971273,0.21023072482338967,0.1567468257622315,0.26401264297233934
0.08317637711026717,0.3270378046461263,0.3241261297607886,0.27049652966996,0.3789347067181152
0.09772372209558111,0.4421029457797656,0.456950495926729,0.4067428710998107,0.5078228460444894
0.1148153621496884,0.5596832153386991,0.5910444689273922,0.5439116923631737,0.6379238936987831
0.1348962882591656,0.6649676849903872,0.7060381067862709,0.662629708110768,0.7515699794525708
0.15848931924611143,0.7434489812967738,0.7831963752355626,0.7401969645936131,0.8297360377076471
0.18620871366628694,0.7833870986852776,0.8100667226198022,0.7646875074100307,0.8578963329255803
0.21877616239495562,0.7778894056340292,0.7826245040637003,0.7377530098533704,0.8299926541945546
0.25703957827688645,0.7261964128941587,0.7049028285479094,0.6611366966461961,0.7464845840358661
0.30199517204020193,0.6339121599929131,0.5900768715095626,0.5510185860314778,0.6224438794531302
0.354813389233576,0.5121243944866097,0.45541820953527384,0.4211121535639161,0.4824777330677219
0.41686938347033553,0.3755789071902167,0.3210083797976826,0.28554328103515714,0.34932926073797427
0.48977881936844664,0.24025717983854397,0.20300208401868602,0.1644256289056747,0.23356258684876782
0.5754399373371578,0.12081753479385826,0.11197096574397208,0.07581556058391382,0.14449593707858016
0.6760829753919819,0.028374783408507936,0.05146307869451926,0.023315934863193943,0.08321917346793456
0.7943282347242822,-0.030988811069059936,0.01901437153755921,0.001608645487558852,0.04727940279927608
0.9332543007969925,-0.056747092997387484,0.008349604787807864,0.00021664554361781446,0.032507679855070165
1.0964781961431873,-0.05345262931775485,0.010908976777038504,0.0003606675236251925,0.03331016437317275
1.288249551693135,-0.029418122453530947,0.017567984653885878,0.001430284264974863,0.04181179970286957
1.5135612484362102,0.0051325141096134706,0.02277675615187493,0.0029772690445939846,0.045798765118072744
1.7782794100389265,0.04005433046385341,0.024502819266598877,0.0037054084070534767,0.04477394088899255
2.089296130854041,0.06702967492625402,0.022454858477441,0.003300950171539609,0.03904715669358924
2.4547089156850337,0.0807742215774694,0.01818464230381646,0.0025212465982857365,0.032897999845765254
2.8840315031266117,0.07953591949620546,0.013733690200314702,0.0012985539496954562,0.02831329578954849
3.3884415613920273,0.06487773520271259,0.01050996229526049,0.0004883110941038347,0.025742150275127898
3.9810717055349776,0.0408760855737351,0.00892571161171326,0.0003371101334428551,0.02575530969678081
4.677351412871991,0.01296513283643416,0.008661490704146095,0.00037152327980686796,0.02585525375698831
5.4954087385762485,-0.013303313871463007,0.008916017723380453,0.00039005417118743096,0.025892998335660354
6.456542290346563,-0.033335023894230036,0.008849079489762424,0.0004944610257671113,0.025629621048480263
7.585775750291852,-0.04422295295230295,0.008248749852665476,0.0004274934068876778,0.025042919567168587
8.91250938133746,-0.04504597603124591,0.0074153516854388625,0.00037277320134461016,0.023684947706600252
10.471285480509007,-0.036749760444815045,0.006748459377213276,0.00025697060554949437,0.02328634670294488
12.302687708123836,-0.021702564930554755,0.006586238638625605,0.00026280211816036005,0.02327946334666401
14.45439770745928,-0.0030661255247205373,0.007106727514080885,0.0002771366912529281,0.024719949794750114
16.98243652461746,0.015867663852994134,0.008115880189838259,0.00029656485546410556,0.027674355841808572
19.95262314968883,0.03224536584802262,0.00931892438489445,0.00044725361689918397,0.03103565036390491
23.442288153199275,0.044040362870871076,0.010406651526269493,0.000536469570489164,0.034591639959805534
27.54228703338169,0.05022695513644829,0.011145851782277276,0.0005062064969036022,0.037808147152506126
32.359365692962875,0.05075346872409207,0.011637516328851613,0.0004915770390679285,0.04092773873245382
38.0189396320562,0.046361900322021934,0.01252589093868815,0.00048692239420649144,0.046250223435233266
44.668359215096345,0.03831885382998415,0.014649237914944099,0.0006097770046893056,0.05329091459815369
52.480746024977336,0.02812332310745819,0.0183155890180234,0.0007529166060320904,0.0668817373361921
61.65950018614835,0.017245157652653182,0.024766834278842853,0.0011930700957005626,0.08421935407373482
72.44359600749905,0.006929326707932684,0.0337452647962552,0.001830973662062372,0.109636222616096
85.11380382023776,-0.0019191479677686425,0.04357526754748397,0.0029063912350868705,0.15652952437096504
100.0,-0.008772213927357348,0.05275523660823646,0.000943489393148545,0.2216671742155897
