freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag,Z_re_percentile_0dot1,Z_re_percentile_0dot9,Z_im_percentile_0dot1,Z_im_percentile_0dot9
0.02,3.5920659662141112,-0.015200526244581342,3.59,-0.0129,3.5864327912116702,3.5978221348266026,-0.017669290883504975,-0.013226901240006611
0.0233,3.591550243212767,-0.016409314711872354,3.59,-0.0145,3.5859620240775696,3.59731158010439,-0.01852642424820034,-0.014663391912402323
0.0272,3.5909905020821657,-0.017931802811621184,3.59,-0.0167,3.5854305422880715,3.5966801607741368,-0.01975151709405444,-0.016344323806460018
0.0318,3.5903635396336213,-0.0197957711556411,3.59,-0.0188,3.5848073421986917,3.5959911183421314,-0.021411891068650466,-0.01834642446964216
0.037,3.5896696338200353,-0.02195763939422357,3.59,-0.0211,3.584113664306179,3.5952552749485456,-0.023387899041716318,-0.020625023868899098
0.0433,3.588837998965375,-0.024599937400197062,3.59,-0.0243,3.583295730220284,3.5944206766183657,-0.025903581134267745,-0.023336729019804436
0.0505,3.587862367496907,-0.027615748290570594,3.59,-0.0277,3.58237444786139,3.5934219402559746,-0.028887257685784914,-0.026396761215461587
0.0588,3.5867220988169333,-0.031062731961575038,3.59,-0.0311,3.581275249936769,3.5923238151387547,-0.03228881499250199,-0.02987379806309066
0.0687,3.5853423932149333,-0.03511172763942763,3.59,-0.0353,3.5798825518987223,3.5909423209464504,-0.036324773082358236,-0.03393602814917761
0.0801,3.583706483113251,-0.0396720581125939,3.58,-0.0403,3.5782433654094294,3.5893334300834776,-0.0408555656249049,-0.03852285921171942
0.0935,3.581725325807743,-0.04488003358595836,3.58,-0.0455,3.576223933766999,3.587350549234629,-0.04602517541478621,-0.04373523561349343
0.109,3.5793959800367263,-0.050700929989424263,3.58,-0.0514,3.573875333330236,3.585056643086253,-0.051818606125009437,-0.049575856270470196
0.127,3.576619929343048,-0.05720820655676499,3.58,-0.0579,3.571092213103347,3.582272202249747,-0.05833068654264188,-0.05607981789187465
0.149,3.5731716462794116,-0.0648255428947576,3.57,-0.0651,3.567648051484768,3.5788679740818488,-0.06593043453156047,-0.06370314555969141
0.17300000000000001,3.5693595207885727,-0.07275816020499504,3.57,-0.0737,3.5638374693747066,3.57506403126276,-0.07385867536390213,-0.07162958177815448
0.20199999999999999,3.5646831157611545,-0.08186527896170501,3.56,-0.0825,3.5591270123181338,3.5703946382736658,-0.08297589643078648,-0.08069292169437568
0.23600000000000002,3.5591527372713196,-0.09196883936224065,3.56,-0.0921,3.5535749592078365,3.564877864860298,-0.09310206465113134,-0.09078863533917887
0.275,3.552771979529208,-0.10287625832009983,3.55,-0.10300000000000001,3.547195981338948,3.5585225967273053,-0.10402779186447697,-0.10168287741311066
0.321,3.5452349976753648,-0.11492573538358072,3.55,-0.114,3.539632797146056,3.5510375391547897,-0.11609364318929422,-0.11372228808324192
0.375,3.5363958687072863,-0.1280926806342072,3.54,-0.128,3.5307998208606914,3.542194153118476,-0.12928248457378164,-0.12688498886487226
