tau_vec,gamma_GP_unc,gamma_median_constr
1e-06,0.03974998427245424,0.049237813343470826
1.584893192461114e-06,0.03663598159828041,0.04040082447110123
2.5118864315095823e-06,0.03310830114132557,0.031653537054097944
3.981071705534969e-06,0.030691044343960527,0.027976231076367826
6.30957344480193e-06,0.030602046347642187,0.028224088096236492
1e-05,0.033287697185528486,0.032616955372882075
1.584893192461114e-05,0.038198302822131325,0.038940741973876106
2.5118864315095822e-05,0.04396749385639254,0.045374917676004406
3.9810717055349695e-05,0.0490542034570467,0.050604798308005676
6.309573444801929e-05,0.052699914930677494,0.05339270162114873
0.0001,0.055783514073048934,0.05557862753553539
0.00015848931924611142,0.060982195018851826,0.05971414942929548
0.0002511886431509582,0.07180372627090037,0.06993046655025834
0.00039810717055349735,0.09065335407169783,0.0893076294275369
0.0006309573444801936,0.1169104107912986,0.11717991926136151
0.001,0.14645061675710735,0.14885375099018913
0.001584893192461114,0.17359627001037836,0.17692267061450812
0.002511886431509582,0.19505398611517677,0.1967662853922529
0.003981071705534973,0.2137338222633378,0.2119772160724114
0.006309573444801936,0.23962985405143744,0.23474132145350327
0.01,0.28603368301085297,0.28093738799288626
0.01584893192461114,0.36198918330370766,0.36126714765631995
0.025118864315095822,0.46462333169835546,0.4705381133997732
0.039810717055349776,0.5759697316113623,0.5858120921763932
0.06309573444801943,0.6671671403928343,0.6741081206697438
0.1,0.709149322542153,0.7062166885512161
0.15848931924611143,0.6852049495646781,0.671723238116431
0.25118864315095824,0.5992853168278316,0.5833705484585647
0.39810717055349776,0.4756605561954572,0.47071169260979456
0.6309573444801942,0.3496289139695534,0.3650417884740985
1.0,0.2533091863940271,0.2851601980522681
1.584893192461114,0.202871140757658,0.2317142309817058
2.5118864315095824,0.19279206837810392,0.19256373809886923
3.9810717055349776,0.19938761709240538,0.15315797026486683
6.309573444801943,0.1916792335888573,0.107787960965529
10.0,0.14461667829112201,0.06155992946664941
15.848931924611142,0.04905742946610303,0.024996341597811056
25.11886431509582,-0.08522958324186192,0.007826473574442244
39.81071705534978,-0.23399983772405264,0.012194485731408286
63.09573444801943,-0.3678009264712969,0.028656039354938517
100.0,-0.4619096608916813,0.04638282337387767
