lower_bound_constr,upper_bound_constr
0.012529684067563916,1.4135430975305598
0.10541639682448703,0.7340829264421652
0.06423684576045864,0.5675381609273568
0.027192053938026643,0.5012168142209336
0.061974488219338646,0.5070424347357511
0.11307830274188618,0.5366519621488317
0.1871822306901939,0.5825922637963851
0.25489059588469676,0.6361723270684303
0.3075975034378571,0.6899435818431604
0.3501024597574528,0.7248087938582525
0.3761605008312849,0.7471266934659146
0.4202252691181758,0.7814209805830035
0.5189962883312785,0.8828371874412413
0.7033323705151666,1.0713132848110276
0.9851756119226847,1.3478955023271204
1.3082669492425167,1.6683744573094834
1.5863389191899646,1.952933897174229
1.7858982387851383,2.153880728195903
1.9400786175165696,2.3061524956761428
2.1662717067188595,2.5259175878074247
2.6271261040126204,2.987961045508345
3.4221108246348306,3.7932041273683343
4.517767283905747,4.879851912382833
5.673367890107987,6.036011450422314
6.561158915575301,6.926873148326591
6.885918556452633,7.246342648826694
6.541613580552104,6.907357547632169
5.650877210611059,6.022587745253579
4.52462364339495,4.891664741701507
3.4701025083999895,3.8196636385407055
2.663714640203305,3.0302793164551023
2.1178146081190934,2.5150535589416108
1.7343417785695123,2.106119603998866
1.358481427727359,1.6997018844754122
0.8685299677044956,1.2844760850017956
0.35626398206765353,0.8601156747795548
0.03656122843842095,0.5101240966221549
0.001305697028878855,0.34543690443081604
0.001958717504102601,0.5340415627639226
0.022131765457653236,1.1043364199380745
0.010361125883940243,1.8867328352552344
