lower_bound_constr,upper_bound_constr,Z_re_percentile_0dot1,Z_re_percentile_0dot9,Z_im_percentile_0dot1,Z_im_percentile_0dot9
0.0013591961555141903,0.010790935968280265,0.7295415986067343,0.7306969740192417,-0.0021304713711857628,-0.0011662234048593339
0.002440727026534961,0.007707974105761369,0.729465811430957,0.730597587321195,-0.0020939931528535572,-0.00125494887692336
0.0026333124005921953,0.005657211136859469,0.7293950181525953,0.7305075360340788,-0.002109377225142659,-0.0013541568691608549
0.0017051945613101142,0.00484007413838843,0.7293263173491534,0.7304193842915881,-0.0021449952910980565,-0.00147530694897913
0.0006763033286601272,0.004431203410836678,0.7292502825929008,0.7303273600305721,-0.0022298327403682617,-0.0016166517887600707
0.00016503866002705084,0.00398779648309265,0.7291701605684979,0.730242506951412,-0.0023472253150096547,-0.001774284009830432
5.2031986496544254e-05,0.0035991559775669798,0.7290857869005362,0.730142388159713,-0.002508601466147312,-0.0019655943880252298
4.5190736830802786e-05,0.003213903738524185,0.7289940657074963,0.7300350033333116,-0.0027091240346499737,-0.002178529506749054
5.825965123515069e-05,0.003091023383516378,0.728886593657742,0.7299162223464575,-0.0029574601042627103,-0.002433572190319386
9.294168869098375e-05,0.003376910312436491,0.7287698317208241,0.729792153259922,-0.003246016261039786,-0.002719066902933975
0.0002616075249883512,0.0038582015730146625,0.728638716413008,0.7296518648207958,-0.003593488562419307,-0.0030539217901475882
0.0005601040223696522,0.004410753934491519,0.728496381371747,0.7294891673981029,-0.003979816448866552,-0.003431529203363755
0.001095235098197441,0.005016807605311256,0.728311664213587,0.7293101751446522,-0.004426345777446653,-0.003868443298768039
0.0018880690421169716,0.005709856456108359,0.7281149480366108,0.7290976153810975,-0.004936107746966235,-0.0043742447481464755
0.002841408749479179,0.006498429043101293,0.7278771734640629,0.7288662716062185,-0.005513415891379168,-0.004953331486250073
0.0037438833279588597,0.0074226168617168705,0.7276097710641493,0.7285915369563979,-0.006183397607033903,-0.005633954185590541
0.00459368747188128,0.008457583291990744,0.72728407553221,0.7282896468676928,-0.006917588325930084,-0.006384476163047491
0.005350269354150946,0.009448974960980823,0.7269108235355376,0.7279172920080373,-0.007755985820354598,-0.007235673209819909
0.0060862763547434055,0.010350185379927233,0.7264696393040092,0.7274914599579999,-0.008695040111598513,-0.008181813356271108
0.006667268300280373,0.010997066568528741,0.7259301681616404,0.7269572987971863,-0.009800687024777476,-0.009274921625962978
0.007024766060720738,0.011297872265025297,0.7252868982724787,0.7263207335264382,-0.011003408011997794,-0.010473758382225983
0.007118649881961253,0.01138683758811557,0.7245231625526817,0.7255420168467126,-0.012335389574561763,-0.011786638574840755
0.006983283926896167,0.01124171826700586,0.7235758201347691,0.7245923492528699,-0.013825635547552279,-0.013251014313797485
0.0066172905271785366,0.010922758698784599,0.7224497823104906,0.7234527311620389,-0.015421170874495392,-0.014831676501980437
0.006246137400014363,0.010654513659602984,0.7210721264725592,0.7220741595556915,-0.017132207530404134,-0.016537005928189068
0.00603140741044702,0.010535494211572695,0.7194363304038169,0.7204441747119799,-0.01892348712134207,-0.018327295422981837
0.006210264745674485,0.01076503463776457,0.7175294704374251,0.7185565631660533,-0.020750829822206492,-0.020153125167512904
0.0069530725562271,0.011478736776324463,0.7153169365982782,0.71636446462247,-0.02259833398790497,-0.021993081444295657
0.008506504406061694,0.012879122396306432,0.7128047808056543,0.713845423371354,-0.024408125955764463,-0.023800728809998933
0.010769695742947373,0.015148830756082109,0.7099698177856181,0.711013664160106,-0.026133177851752638,-0.025525375253029604
0.0138120950312045,0.01820153770788813,0.7069198607575962,0.7079573248505072,-0.027688477271834867,-0.02706816202318601
0.01739330923590024,0.021870206585756016,0.7034753845415539,0.7045054855781011,-0.029113743170972282,-0.02848861135757338
0.021368042456555953,0.025852225377380758,0.6997951043973872,0.7008313900521705,-0.03029458897986279,-0.029659549058311793
0.025320169254902034,0.029803081221852774,0.6960282529806522,0.6970573307168697,-0.031170156457520897,-0.030539302170578816
0.028886017178301412,0.03329472959006919,0.6921284801815517,0.6931601792603219,-0.03176499626556225,-0.031126865804561005
0.03158603752827081,0.035869697171540815,0.6881407234868162,0.6891719871321256,-0.032053335400428706,-0.031420007528481876
0.03311565197299681,0.03727069310850147,0.6842059377584997,0.6852300937300199,-0.032032480929693394,-0.03140123137656758
0.03306745650718646,0.03733503561875738,0.6802770112236022,0.6812950664216864,-0.03172248508058623,-0.031082027286597484
0.03166255263510397,0.03593404264917492,0.6764370743862186,0.6774559585349279,-0.031130376100374894,-0.030492711238654067
0.028902500316193954,0.03311409906763906,0.67281651610805,0.6738289326822646,-0.030319254782134455,-0.029678922934790828
0.02512620908266456,0.029125996919858226,0.6693614061905534,0.6703710219436515,-0.029306144304671652,-0.028665613388282874
0.020700881095260075,0.02450131525603163,0.666170798560183,0.6671774215505885,-0.028156930490837725,-0.0275117576467844
0.016036583250415886,0.019624393723890146,0.6631736128895508,0.6641792902519615,-0.026893928136341533,-0.02625355128683303
0.011542105964152293,0.015011342123652696,0.6604517113850585,0.6614540721450032,-0.025591163276408826,-0.024949817785930112
0.007502872397055555,0.011007817961903192,0.6579229741315397,0.6589283859227542,-0.024261847222166524,-0.023621404063457124
0.004303415027544824,0.007803500324094215,0.6556192061503249,0.6566158747271427,-0.022949660892252557,-0.02230373975502713
0.0019933679636069033,0.005434003193127703,0.6535108968994582,0.6545043734231296,-0.021674442998960944,-0.021030880662203755
0.0006510120962004891,0.0038252527847331824,0.6514788117338435,0.6524723165197341,-0.02040625976324957,-0.019760051143288045
