tau_vec,gamma_GP_unc,gamma_median_constr,lower_bound_constr,upper_bound_constr
1e-06,0.018141298875384848,0.04241659656584649,0.0009731871934845923,0.1397219628027035
1.5505157798326253e-06,0.03144074699816635,0.03945605565689496,0.007561858799749796,0.0781006933933837
2.4040991835099745e-06,0.03969183185608216,0.03549450392158664,0.008411264736705181,0.06397796024923236
3.727593720314938e-06,0.041803309089392116,0.03485965383969469,0.005087037143040485,0.05818279294045785
5.779692884153313e-06,0.03916524286919909,0.03434902162793095,0.0073118210481252915,0.05894781324296727
8.96150501946605e-06,0.03515093508512379,0.034786993353190326,0.009441869286050036,0.059378422684190385
1.3894954943731361e-05,0.03356230339863142,0.03614362901501439,0.0121089872244342,0.05959273604177588
2.1544346900318823e-05,0.036743913606263945,0.03951738649431618,0.016169981703855058,0.062041970992573116
3.340484983513244e-05,0.04440972859493897,0.045583328947757816,0.022094631609602327,0.0688499457067827
5.1794746792312125e-05,0.053959029765851874,0.05357172769044609,0.030428402042024977,0.07621647909388611
8.030857221391521e-05,0.062254402617832216,0.061476200123128016,0.038983593294106396,0.08455004742262295
0.0001245197084735032,0.06790351040534826,0.06759128035708192,0.044884172397830546,0.09097881158150911
0.00019306977288832496,0.0726081034392636,0.07272780572770964,0.050028378946430384,0.09633477470269955
0.00029935772947204905,0.08052805716172684,0.08007851916349953,0.05729222175177284,0.10287100328859759
0.00046415888336127773,0.09577815347039842,0.09422125225129707,0.07127776281497614,0.1171965053560149
0.0007196856730011514,0.11949963139536401,0.11780214675953546,0.09535817427647107,0.14101402599243926
0.001115883992507748,0.14854352411834232,0.14837696231670533,0.1252158385441214,0.17122016761967054
0.0017301957388458943,0.1770940139299483,0.17971434488895888,0.1571329155567431,0.20311565697831938
0.0026826957952797246,0.20076424918521518,0.20513178539547441,0.1821086407337612,0.22780657887111208
0.004159562163071843,0.22084288245577355,0.2236483778133226,0.20115806878360049,0.24602557837878009
0.00644946677103762,0.2457286026820304,0.244022752903161,0.2217769271515083,0.266144883675567
0.01,0.287818629740554,0.2813958056495022,0.25831883355373897,0.30374063377339855
0.015505157798326221,0.35669806634475476,0.3495453998324777,0.3267192159663465,0.3724979606552172
0.024040991835099692,0.45192122325305434,0.45006879441368774,0.4271258249508573,0.4736141142339748
0.03727593720314938,0.5594328750937801,0.5663076590546847,0.5442275672208451,0.5891477447186855
0.05779692884153313,0.6541568300834188,0.6672623742622548,0.6450394919294223,0.689810707675438
0.0896150501946605,0.7082642486306484,0.7188359856240358,0.6966212917543378,0.7420424037276566
0.1389495494373136,0.7017837132329379,0.7000634757397743,0.6772954801960294,0.7231909205199367
0.21544346900318823,0.6310202690910711,0.6145299856547972,0.5920905983825082,0.6365397143720626
0.33404849835132444,0.5111875076573952,0.4887838205860686,0.46611014716294275,0.5108525912259338
0.5179474679231202,0.37207535646444284,0.36094535450776455,0.3378915894034785,0.38363574895336405
0.8030857221391504,0.24827213742701162,0.26297455345376924,0.24147297683595198,0.28448287957761026
1.245197084735032,0.1673956265251646,0.20702506938746562,0.18549750525211392,0.22870086373952747
1.9306977288832496,0.1404559522529103,0.18364953828444536,0.16111954997494765,0.20694027887558095
2.9935772947204904,0.15781510482488093,0.17162529635879442,0.1490310957240076,0.1924272471966378
4.641588833612772,0.19241341486233218,0.1505012588529563,0.13010035592999783,0.16921423600818994
7.196856730011514,0.2094188705872754,0.11363681899314995,0.09118702899702316,0.13407019586281332
11.15883992507748,0.178975658619794,0.0682511373050265,0.042441204027862584,0.09259511200308657
17.30195738845891,0.08730213514303158,0.028654915481017087,0.008285518512839925,0.0553986580237305
26.82695795279722,-0.058158003481862015,0.007608315235437868,0.00016649916864638626,0.03108669634814624
41.595621630718426,-0.23146044662281653,0.007500606419422726,0.00012835286061787463,0.03714802114950559
64.4946677103762,-0.39740410700731427,0.02042419613391433,0.0014592889997749952,0.07396096290936677
100.0,-0.5233133974584709,0.03252293004242507,0.0006268226516995734,0.1340648651040017
