freqs,Z_re_median,Z_im_median,Z_exp_real,Z_exp_imag
0.02,3.5920838903918977,-0.015206283670503938,3.59,-0.0129
0.0233,3.5915672532617773,-0.01641631550284764,3.59,-0.0145
0.0272,3.5909961770631056,-0.0179375803668005,3.59,-0.0167
0.0318,3.5903730557927958,-0.019803273055593203,3.59,-0.0188
0.037,3.5896669864606183,-0.0219589694341486,3.59,-0.0211
0.0433,3.5888260125593936,-0.024601287676891306,3.59,-0.0243
0.0505,3.587860477793713,-0.027618229795683572,3.59,-0.0277
0.0588,3.5867060554514723,-0.031061792395120955,3.59,-0.0311
0.0687,3.585332018597477,-0.03511232255265742,3.59,-0.0353
0.0801,3.5837056915984657,-0.039673398232628304,3.58,-0.0403
0.0935,3.5817318061055268,-0.044880357367712204,3.58,-0.0455
0.109,3.579384107668837,-0.05070580575040235,3.58,-0.0514
0.127,3.5766121683664807,-0.05721415124107129,3.58,-0.0579
0.149,3.573174083266369,-0.06483652174781226,3.57,-0.0651
0.17300000000000001,3.569362637807469,-0.07276960598861912,3.57,-0.0737
0.20199999999999999,3.564689395067818,-0.08187713713646944,3.56,-0.0825
0.23600000000000002,3.5591708349420674,-0.09198031080732909,3.56,-0.0921
0.275,3.552780315840633,-0.10288203282782829,3.55,-0.10300000000000001
0.321,3.5452337913802143,-0.11492769588697974,3.55,-0.114
0.375,3.5363997312942974,-0.12809636072881847,3.54,-0.128
0.43799999999999994,3.5261317482100627,-0.14231373036922523,3.53,-0.14300000000000002
0.511,3.5143670140767256,-0.15745750442582834,3.51,-0.157
0.596,3.5008718714407285,-0.17355431369904936,3.5,-0.17300000000000001
0.6940000000000001,3.4856205446169986,-0.1903722944596442,3.49,-0.19
0.8109999999999999,3.4679067948792817,-0.2084017626788744,3.47,-0.20800000000000002
0.946,3.448127135090118,-0.2269029540241677,3.45,-0.226
1.1,3.426453765874051,-0.245525051724804,3.43,-0.244
1.29,3.4009395008861816,-0.26553975500918253,3.4,-0.263
1.5,3.3742501087287753,-0.28459542086437345,3.37,-0.28300000000000003
1.75,3.344350732695241,-0.30395123502446975,3.35,-0.303
2.04,3.31199872530106,-0.32283657676818533,3.31,-0.321
2.38,3.276866484994418,-0.3411984548241543,3.28,-0.33799999999999997
2.78,3.2388888243761103,-0.35880413390794824,3.24,-0.358
3.25,3.1982555284396224,-0.3753105755491989,3.2,-0.371
3.79,3.156022700944389,-0.3901390364115318,3.15,-0.39
4.42,3.11177068567717,-0.4033265990508027,3.11,-0.401
5.16,3.065461616453206,-0.41473873506320846,3.06,-0.41200000000000003
6.02,3.0178600020986956,-0.4240708129988029,3.02,-0.425
7.03,2.9688205117203372,-0.43124902998583725,2.97,-0.428
8.19,2.919780195619663,-0.43608295429710386,2.92,-0.435
9.56,2.869692088854742,-0.43865004169697497,2.87,-0.439
11.2,2.8183878757248033,-0.4388718940917913,2.82,-0.439
13.0,2.7704051306681596,-0.43692599662728193,2.77,-0.436
15.2,2.7207382366584536,-0.4327382111651327,2.72,-0.43200000000000005
17.7,2.673352288520034,-0.4267247270501307,2.67,-0.426
20.7,2.6259008986386174,-0.4187340377752843,2.62,-0.419
24.1,2.5812788736375802,-0.40943985222565843,2.58,-0.41
28.2,2.536861057972601,-0.39851032670124303,2.54,-0.39799999999999996
32.9,2.495100515454845,-0.3867305577047629,2.49,-0.386
38.3,2.4557284608342584,-0.3743276644845665,2.46,-0.374
44.7,2.417587364770919,-0.36113133765308914,2.42,-0.361
52.2,2.38119123149022,-0.34748819623671023,2.38,-0.34700000000000003
60.9,2.346862352049955,-0.33372572739118184,2.35,-0.33399999999999996
71.0,2.3144503216509653,-0.31993885955670154,2.31,-0.32
82.9,2.2834152241763164,-0.306056206255543,2.28,-0.306
96.8,2.2540491389069928,-0.2922748449529188,2.25,-0.292
113.0,2.2262774005097548,-0.2786845383810882,2.23,-0.28
132.0,2.199925873029893,-0.2652444518633575,2.2,-0.266
154.0,2.175241871937298,-0.25213826427360175,2.18,-0.253
179.0,2.152499322143564,-0.2395985423930368,2.15,-0.24
209.0,2.130433724818861,-0.2269744282132623,2.13,-0.226
244.0,2.109747580277105,-0.21467458713151277,2.11,-0.215
285.0,2.090320160349006,-0.20268882731656052,2.09,-0.203
332.0,2.0724753790861943,-0.19129641335441494,2.07,-0.191
388.0,2.055485075218746,-0.18009706194170771,2.06,-0.18
452.0,2.040012884548095,-0.16959322885860204,2.04,-0.17
527.0,2.0255039749591974,-0.15952701952713405,2.02,-0.159
616.0,2.0117750392606197,-0.149835150213748,2.01,-0.15
718.0,1.9992355705945006,-0.1408559870480228,2.0,-0.141
838.0,1.987369376721115,-0.1323336971338555,1.99,-0.134
978.0,1.9762890701753573,-0.1243468320111098,1.98,-0.125
1140.0,1.965949230320155,-0.11690510245689321,1.96,-0.11699999999999999
1330.0,1.9561734708426055,-0.10986747062492874,1.96,-0.11
1550.0,1.9469954524828668,-0.10327613034097873,1.95,-0.10300000000000001
1810.0,1.9381857901392583,-0.0969633449220651,1.94,-0.0964
2120.0,1.9296766641862706,-0.0908473115327094,1.93,-0.0906
2470.0,1.9218773791661976,-0.08518498287072843,1.92,-0.0846
2880.0,1.914458109900902,-0.07970208271226903,1.91,-0.0787
3360.0,1.9073724195273312,-0.07436655800791536,1.91,-0.0738
3920.0,1.9006757812897779,-0.06916003542856335,1.9,-0.0687
4570.0,1.8943675761959144,-0.06407235670998254,1.89,-0.0637
5390.0,1.8879490586358696,-0.05867251843593588,1.89,-0.0585
6230.0,1.882630579824328,-0.053958585186620986,1.88,-0.0542
7270.0,1.877235218275576,-0.048919154692695976,1.88,-0.0495
8540.0,1.8719102516717407,-0.04358984376766102,1.87,-0.0441
9890.0,1.8673220711407494,-0.038600542316414646,1.87,-0.0392
11500.0,1.862819486076645,-0.033290897001371354,1.86,-0.0338
13500.0,1.8582687960737436,-0.02737263780986582,1.86,-0.0284
15700.0,1.8541934472228703,-0.02143161096005685,1.85,-0.0219
18300.0,1.8502497564436386,-0.014951759337418886,1.85,-0.0159
21400.0,1.846414347215044,-0.007747095403504442,1.85,-0.008579999999999999
24900.0,1.8428988370538826,-9.795144353550488e-05,1.84,-0.000463
29100.0,1.8394774654869805,0.008624947398815176,1.84,0.00775
34000.0,1.836242939144019,0.018348738236694785,1.84,0.0174
39600.0,1.8332557079687972,0.029034949487945085,1.83,0.0279
46200.0,1.8304047854097618,0.041233854910907024,1.83,0.0407
54000.0,1.8276757025197796,0.05524703011207444,1.83,0.0546
63000.0,1.8251569591291716,0.07107502634469567,1.83,0.0707
73500.0,1.8227906910140024,0.08917972097773083,1.82,0.0898
85700.0,1.8206030065006957,0.10985115932284073,1.82,0.11
100000.0,1.818584239516062,0.13377048591905502,1.82,0.136
