tau_vec,gamma_GP_unc,gamma_median_constr
1.00E-06,0.074140781,0.07519114
1.26E-06,0.070457576,0.070431204
1.58E-06,0.065798123,0.065277159
2.00E-06,0.060428404,0.059867739
2.51E-06,0.05468268,0.05384905
3.16E-06,0.048946253,0.048606928
3.98E-06,0.043631256,0.043811819
5.01E-06,0.039146634,0.039810296
6.31E-06,0.035864359,0.036735856
7.94E-06,0.034084845,0.034849197
1.00E-05,0.03400522,0.034559068
1.26E-05,0.035694502,0.035894402
1.58E-05,0.039079682,0.038804527
2.00E-05,0.043946029,0.043164058
2.51E-05,0.049953749,0.048898565
3.16E-05,0.056671289,0.055553695
3.98E-05,0.063623458,0.06267429
5.01E-05,0.070350212,0.069902762
6.31E-05,0.076469897,0.076679222
7.94E-05,0.081739248,0.082644809
0.0001,0.086101865,0.087542488
0.000125893,0.0897175,0.091398383
0.000158489,0.092966319,0.094489074
0.000199526,0.096425331,0.097480257
0.000251189,0.100818,0.101033468
0.000316228,0.106942179,0.106248491
0.000398107,0.115585315,0.113956105
0.000501187,0.127438648,0.125202629
0.000630957,0.143023224,0.140633463
0.000794328,0.162639641,0.160650251
0.001,0.186350361,0.185326062
0.001258925,0.213998468,0.214315191
0.001584893,0.245260554,0.246973646
0.001995262,0.279724953,0.282654323
0.002511886,0.316980926,0.320576585
0.003162278,0.356700749,0.360266767
0.003981072,0.398695988,0.401336182
0.005011872,0.442931891,0.443936678
0.006309573,0.4894899,0.488470663
0.007943282,0.538477043,0.535438135
0.01,0.589891081,0.585223766
0.012589254,0.643460229,0.638143915
0.015848932,0.698484144,0.693735225
0.019952623,0.753706936,0.750682032
0.025118864,0.80725228,0.806910001
0.031622777,0.856644561,0.859470924
0.039810717,0.898929114,0.904823662
0.050118723,0.930890265,0.938925084
0.063095734,0.949350162,0.957989207
0.079432823,0.951516869,0.958899693
0.1,0.935339313,0.939648163
0.125892541,0.899821488,0.899737389
0.158489319,0.845250078,0.84009294
0.199526231,0.773298351,0.76351971
0.251188643,0.686983915,0.674178105
0.316227766,0.590476498,0.5772124
0.398107171,0.488771739,0.478116161
0.501187234,0.387264929,0.382238058
0.630957344,0.291272179,0.294151393
0.794328235,0.205553476,0.217512267
1,0.133891729,0.154312822
1.258925412,0.078774223,0.105168684
1.584893192,0.041209418,0.069271312
1.995262315,0.020694687,0.04488241
2.511886432,0.015332148,0.029611525
3.16227766,0.022072692,0.020899758
3.981071706,0.037054962,0.016325613
5.011872336,0.055997805,0.013788992
6.309573445,0.074602299,0.011950038
7.943282347,0.08892252,0.010029895
10,0.095671819,0.007876662
12.58925412,0.092441914,0.005584308
15.84893192,0.077823953,0.003556778
19.95262315,0.0514321,0.002173992
25.11886432,0.013839905,0.001637131
31.6227766,-0.033553275,0.001855664
39.81071706,-0.088704461,0.002679865
50.11872336,-0.149135459,0.003890396
63.09573445,-0.212146477,0.005125438
79.43282347,-0.275017192,0.006110765
100,-0.335181811,0.006696697
125.8925412,-0.390369352,0.00694191
158.4893192,-0.43870484,0.006886545
199.5262315,-0.478770983,0.007009646
251.1886432,-0.509632907,0.007763605
316.227766,-0.530830671,0.009352075
398.1071706,-0.542345534,0.012104666
501.1872336,-0.544546531,0.016238892
630.9573445,-0.538123859,0.021676383
794.3282347,-0.524015164,0.028678264
1000,-0.5033301,0.036927114
1258.925412,-0.477277633,0.046109665
1584.893192,-0.447099644,0.056335298
1995.262315,-0.414013367,0.067195273
2511.886432,-0.379164272,0.07847614
3162.27766,-0.343590159,0.088952129
3981.071706,-0.308196414,0.099271091
5011.872336,-0.2737418,0.108732783
6309.573445,-0.240833623,0.116523922
7943.282347,-0.2099308,0.123263089
10000,-0.181353175,0.129201425
